Ⅵ炎症・変性疾患,炎症・変性疾患,頭部の炎症・変性疾患,後天性禿髪,頭皮感染症,735
Ⅵ炎症・変性疾患,炎症・変性疾患,頭部の炎症・変性疾患,後天性禿髪,男性ホルモン性脱毛,736
Ⅵ炎症・変性疾患,炎症・変性疾患,頭部の炎症・変性疾患,後天性禿髪,円形脱毛症,737
Ⅵ炎症・変性疾患,炎症・変性疾患,頭部の炎症・変性疾患,後天性禿髪,その他の後天性禿髪,738
Ⅵ炎症・変性疾患,炎症・変性疾患,頭部の炎症・変性疾患,皮膚・軟部組織疾患,蜂窩織炎・創感染,739
Ⅵ炎症・変性疾患,炎症・変性疾患,頭部の炎症・変性疾患,皮膚・軟部組織疾患,その他の頭部の皮膚・軟部組織疾患,740
Ⅵ炎症・変性疾患,炎症・変性疾患,頭部の炎症・変性疾患,その他,その他の頭部の炎症・変性疾患,741
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,眼瞼内反症,眼瞼内反症,742
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,眼瞼外反症,眼瞼外反症,743
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,顔面神経麻痺,Bell麻痺,744
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,顔面神経麻痺,Ramsey Hunt症候群,745
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,顔面神経麻痺,その他の顔面神経麻痺,746
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,甲状腺眼症,甲状腺眼症,747
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,顔面萎縮症,ロンバーグ病,748
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,顔面萎縮症,強皮症（限局性、全身性）,749
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,顔面萎縮症,ウェゲナー肉芽腫症,750
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,顔面萎縮症,その他の顔面萎縮症,751
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,鼻中隔穿孔,鼻中隔穿孔,752
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,皮膚・軟部組織疾患,蜂窩織炎・創感染,753
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,皮膚・軟部組織疾患,その他の顔面・頸部の皮膚・軟部組織疾患,754
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,その他,その他の眼瞼・眼窩の炎症・変性疾患,755
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,その他,その他の鼻の炎症・変性疾患,756
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,その他,その他の顔面の炎症・変性疾患,757
Ⅵ炎症・変性疾患,炎症・変性疾患,顔面・頸部の炎症・変性疾患,その他,その他の頸部の炎症・変性疾患,758
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,神経疾患,手根管症候群,759
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,神経疾患,肘部管症候群,760
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,神経疾患,複合性局所疼痛症候群(CRPS),761
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,神経疾患,断端神経腫,762
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,神経疾患,その他の四肢の神経疾患,763
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,血管性疾患,閉塞性動脈炎,764
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,血管性疾患,下肢静脈瘤(潰瘍を伴わないもの）,765
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,血管性疾患,深部静脈血栓症,766
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,血管性疾患,レイノー病,767
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,血管性疾患,その他の四肢の血管疾患,768
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,爪甲周囲炎,769
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,Depuytren拘縮,770
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,Volkmann拘縮,771
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,足底腱膜炎,772
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,陥入爪,773
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,巻き爪,774
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,蜂窩織炎・創感染,775
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,皮膚・軟部組織疾患,その他の四肢の皮膚・軟部組織疾患,776
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,Heberden結節,777
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,CM関節症,778
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,その他の変形性関節症,779
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,骨髄炎（潰瘍・廔孔を伴わないもの）,780
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,関節リウマチ,781
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,関節拘縮,782
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,Kienböcｋ病,783
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,外反母趾,784
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,化膿性腱鞘炎,785
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,弾発指,786
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,de Quervain's disease（ドウケルバン）,787
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,骨・関節・腱疾患,その他の四肢の骨・関節・腱疾患,788
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,リンパ系疾患,原発性リンパ浮腫,789
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,リンパ系疾患,続発性リンパ浮腫,790
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,リンパ系疾患,その他の四肢のリンパ系疾患,791
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,その他,痛風結節,792
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,その他,リンパ節炎,793
Ⅵ炎症・変性疾患,炎症・変性疾患,四肢の炎症・変性疾患,その他,その他の四肢の炎症・変性疾患,794
Ⅵ炎症・変性疾患,炎症・変性疾患,体幹の炎症・変性疾患,多汗症,多汗症,795
Ⅵ炎症・変性疾患,炎症・変性疾患,体幹の炎症・変性疾患,女性化乳房,女性化乳房,796
Ⅵ炎症・変性疾患,炎症・変性疾患,体幹の炎症・変性疾患,皮膚・軟部組織疾患,蜂窩織炎・創感染,797
Ⅵ炎症・変性疾患,炎症・変性疾患,体幹の炎症・変性疾患,皮膚・軟部組織疾患,毛巣洞,798
Ⅵ炎症・変性疾患,炎症・変性疾患,体幹の炎症・変性疾患,皮膚・軟部組織疾患,その他の体幹の皮膚・軟部組織疾患,799
Ⅵ炎症・変性疾患,炎症・変性疾患,体幹の炎症・変性疾患,その他,ペイロニー病,800
Ⅵ炎症・変性疾患,炎症・変性疾患,体幹の炎症・変性疾患,その他,その他の体幹の炎症・変性疾患,801